"country","state","respondentId","surveyStatus","studyId","title","Q1","Q2","Q3","Q4","Q5","Q6-1","Q6-2","Q6-3","Q6-4","Q6-5","Q6-6","Q6-7","Q6-8","Q6-9","Q6-10","Q7","Q8-1","Q8-2","Q8-3","Q8-4","Q8-5","Q9-1","Q9-2","Q9-3","Q9-4","Q9-5","Q9-6","Q9-7","Q9-8","Q9-9","Q9-10","Q10","Q12-1","Q12-2","Q13","Q16-1","Q16-2","Q16-3","Q16-4","Q16-5","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q11","Q14","Q15","wave"
"US","North Carolina","4611865c-f278-35b7-9af0-ac627f02bfc9","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","5","2","2","11","11","11","11","1","11","3","11","11","1","1","2","4","5","3","3","1","11","2","11","11","11","11","11","11","3","15","15","15","4","3","5","2","1","2","2","1","more hand washing, limiting gatherings, less travel, ","2","2","1","2","need for more testing, and studies on actual incidence",,,,"us1"
"US","Iowa","bf697878-4e09-4c15-5d1e-eaa44b9f7b2f","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","5","6","6","3","1","11","11","11","3","2","11","11","11","11","1","1","4","3","5","2","11","2","11","11","11","11","11","1","3","11","1,2","2,3,4,5,15","15","4","3","4","2","5","1","1","1","1","hand washing routines, no touching, no clothes from work in the house","2","2","1","3","Need more info about covid-19 in the outpatient setting, mild disease and in pediatrics","6",,,"us1"
"US","Michigan","bca08545-00d8-87bd-9a55-e45117a42a44","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","4","4","1","11","2","11","11","11","1","11","11","11","3","1","1","3","4","5","2","11","11","11","3","2","11","11","11","1","11","1","15","15","15","2","4","3","5","1","2","2","1","Removing clothing at door and putting them in the wash followed by getting into chlorinated hot tub","2","2","1","1","What is the sensitivity of new rapid testing","3",,,"us1"
"US","Illinois","6bf26beb-2f73-66fa-63a4-f74d785fe472","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","4","4","4","2","1","11","11","11","11","11","11","11","3","1","5","2","3","4","1","11","11","11","1","11","11","2","11","11","3","3","15","15","15","5","4","2","1","3","1","1","2",,"1","1","1","3","none",,,,"us1"
"US","Illinois","25fe3e47-7fc1-5097-4f47-1b78c57a89c7","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","4",7,"7","1","2","3","11","11","11","11","1","2","11","11","11","1","1","2","3","5","4","11","1","11","11","2","3","11","11","11","11","3","15","15","2,8","4","5","2","3","1","4","4","2",,"2","1","3","1","no",,,,"us1"
"US","Maine","2054de2d-6119-1d70-3e65-82a6a2e96ba4","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","4","4","3","11","11","2","11","3","1","11","11","11","11","2","2","4","5","1","3","11","1","11","3","11","11","11","2","11","11","1,2","4,5","15","4,6","4","2","3","5","1","1","2","1","Clothing change/ personal hygiene","2","1","2","2","Valcyclovir and acyclovir were not on the list.","2",,,"us1"
"US","Iowa","a5d1f8a8-32e4-3ca9-06b3-eba3540445fb","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","4","4","4","2","1","11","11","3","11","2","11","11","11","11","2","2","4","3","1","5","11","2","11","11","11","11","11","1","3","11","3","15","15","15","1","4","3","5","2","1","2","1","wipe down phone/keys when arriving home, never bring scrubs home","3","3","2","2","no",,,,"us1"
"US","New York","15229383-51a9-b3f9-9fc8-6d2991d7b448","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","6","6","3","11","11","2","11","3","1","11","11","11","11","1","1","2","3","5","4","11","1","3","11","2","11","11","11","11","11","2","4","1,2,4,5,6,8,9,10,14","15","4","5","1","3","2","1","1","1","isolation, telemedicine, not going out, wiping down surfaces often","1","1","1","2","  na","3","3","no idea; didn't rx","us1"
"US","Oklahoma","f21803e1-3b77-09b7-2184-b968cd843fe5","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","5","6","6","3","2","11","11","11","3","1","11","11","11","11","1","2","3","4","5","1","11","1","11","11","3","2","11","11","11","11","1","3,4,5,6","15","3,4","5","2","4","3","1","1","4","2",,"2","1","1","3","FYI for questions about family- I'm single and live alone. ","6",,,"us1"
"US","Maryland","e9094ae0-4cd9-ce39-5430-91c05dbe1258","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","7","7","7","2","3","11","2","11","11","1","11","11","11","11","2","4","1","2","3","5","11","11","11","11","11","1","2","3","11","11","3","15","15","15","2","4","5","3","1","1","1","1","staying away","1","2","2","2","no",,,,"us1"
"US","New York","d28af986-8a2d-d9c6-085e-1e27a20377c7","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","4","4","4","2","2","11","1","11","11","3","11","11","11","11","2","4","3","1","2","5","3","11","11","2","11","11","11","1","11","11","3","15","15","15","5","1","4","3","2","1","3","1","Washing","2","2","1","2","No",,,,"us1"
