"country","specialty","respondentId","surveyStatus","studyId","title","Q1","Q2","Q3","Q4","Q5","Q6","Q7-1","Q7-2","Q7-3","Q7-4","Q7-5","Q7-6","Q7-7","Q7-8","Q7-9","Q7-10","Q8","Q9","Q10","Q12","Q20-1","Q20-2","Q20-3","Q20-4","Q20-5","Q21","Q22","Q23","Q24","state","Q11","Q13-1","Q13-2","Q14-1","Q14-2","Q16-1","Q16-2","Q16-3","Q16-4","Q16-5","Q16-9","Q18","Q19","Q16-6","Q16-8","Q16-7","Q15","Q16-10"
"RU","General Surgery - Vascular Surgery","8864922f-a47d-eba1-4a16-2523918506c2","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","7","3","2","4","1,2,3,4,5,6,7,8,9,10","2","11","11","11","1","3","11","11","11","11","1","1,2","5","2","1","3","4","5","2","4","4","2","2",,,,,,,,,,,,,,,,,,,
"TR","Family Medicine / Practice (FP)","f71a860b-b9a0-85b8-0b5a-a55cc6987a67","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","5","7","3","1","1,2,4,5,6,7,8,9","2","11","11","11","11","3","11","1","11","11","2","3,4","5","2","4","5","2","3","1","2","3","3","1","İzmir",,,,,,,,,,,,,,,,,,
"GR","General Practice (GP)","bb5f685a-aeb4-2d8c-ee72-7a852c6c3960","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","6","2","1","1,2,7,8","1","11","11","11","11","2","3","11","11","11","1","2,3","2,3,4",,"1","3","4","5","2","3","2","1","2",,,"1,2,3","1,3","5","1,2,3,4,5,9","7","7","7","7","3","3","6","4",,,,,
"GR","Orthopedic Surgery","3736f00a-bc17-b034-e08d-57f4b664906d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","1","3","1,2,3,4,5,6,7,8,9,10","1","11","11","2","3","11","11","11","11","11","3","2,4","5","1","3","5","1","4","2","2","3","4","1","Attiki",,,,,,,,,,,,,,,,,,
"GR","Urology","b82ec020-caba-cfad-53a5-7b34a807c473","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","1","3","2,4","2","11","11","11","3","1","11","11","11","11","2","1","5","2","4","3","2","5","1","1","2","2","1","Attiki",,,,,,,,,,,,,,,,,,
"RU","Gastroenterology","63d42acb-4d82-7287-22d7-257fde86c811","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"3","1","2","2,4,6","1","11","11","11","2","11","11","11","3","11","3","2,3","1,2",,"4","1","5","2","3","3","3","1","2","Moskovskaja oblast'","2","2,4","7","3,6,8","1,4","3",,"4","4",,,"3,5","2,5","4","4",,,
"GR","Ophthalmology","837a6c6a-ef17-40b7-4243-d07b94255c27","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","1","1,2,3,4,5,6,7,8","3","11","11","1","11","2","11","11","11","11","3","1","5","2","3","4","1","5","2","1","2","3","2",,,,,,,,,,,,,,,,,,,
"RU","Surgical Oncology","dce51b98-c2ea-898b-3a6d-8f4e2df40101","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","3","2","1","11","2","11","11","1","11","11","3","11","11","2","1","1","1","2","3","1","4","5","2","1","3","2","Sankt-Peterburg","2","8","1,6","12","1,3,5,9","7",,"7",,"2","2",,,,,,,
"NO","Endocrinology","19096b33-a3d6-1b04-3a94-d14fc2173134","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","2","2","1","1,2,3,4,7","11","11","1","3","2","11","11","11","11","11","1","1","5","1","2","1","5","4","3","3","1","1","3","Sør-Trøndelag",,,,,,,,,,,,,,,,,,
"TR","General Surgery","6b9d2d1c-3d57-f501-b28b-eade8813d32b","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","2","3","2,4,5,7,8","1","11","11","11","3","2","11","11","11","11","2","1,2","3",,"3","4","1","5","2","2","3","2","1","Manisa",,"1,4,7","1,4,7","1,2,4","1,2,4","7","7",,"7",,,"3,4,5,6","2",,,,,
"TR","Cardiology","30b8996b-fc87-5fd9-c578-bbb576fcec15","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","2","3","1,2,4,5,6,7,8","1","11","3","2","11","11","11","11","11","11","2","2","3,4",,"4","5","2","3","1","1","2","2","1","İzmir",,"8","8","4","1,2,4,7","1","2",,"3",,,"2,5,6","1",,,"7",,
"GR","Cardiology","b0040eed-c516-56c9-8443-71b02d951cc6","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","1","1","1,2,5,6,7,8","3","11","2","1","11","11","11","11","11","11","2","2","5","2","4","3","2","5","1","2","2","4","2","Evros",,,,,,,,,,,,,,,,,,
"IE","General Practice (GP)","4a012fca-a99b-e09f-d64e-001df4c41724","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","6","1","3","1,2,3,6,7,8","1","2","11","11","11","11","11","3","11","11","3","2","1","2","3","5","2","1","4","1","2","2","2","Dublin","6","8","8","12","12",,,,,,,,,,,,,
"BE","Anesthesiology","b2d13e5a-fe9a-5da8-1a91-c95d8b6012b7","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","3","1,2,4,5,6","2","11","11","3","11","1","11","11","11","11","2","1,2","3",,"4","5","1","3","2","2","2","4","2",,,"3","3","2,4","2,3,4,7",,"7","7","7",,,"5,6","1",,,"7",,
"RU","Psychiatry","318d70e6-61c0-d2d0-12ab-bc321ba98083","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","1","2","1","1,2,3,4,5,6,7,8,9,10","1","2","11","11","11","11","11","3","11","11","2","1,2,3,4","5","2","5","4","3","2","1","2","2","2","2","Moskva",,,,,,,,,,,,,,,,,,
"RU","General Practice (GP)","1d2449f6-44ef-c7bb-5e43-3633d59d7ffe","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","1","2","1","1","1,2,3,4","2","11","11","3","11","1","11","11","11","11","2","1,2","5","1","4","5","2","1","3","2","1","1","2","Moskva",,,,,,,,,,,,,,,,,,
"BE","Pediatrics (excluding surgery)","f2f6a88e-b099-039e-88ef-383fb981ac9c","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","1","4","1","3","1,2,7,8","11","11","3","1","11","11","11","11","2","11","2","2","5","1","3","4","2","5","1","1","2","2","2",,,,,,,,,,,,,,,,,,,
"GR","Nephrology","c4e638a2-2f89-1f69-c5dc-5e7b67472392","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","2","1","1","1,2,5,6,8","2","11","3","1","11","11","11","11","11","11","3","1,2","1","1","4","5","1","3","2","2","1","4","1",,"3","8","8","12","2,4",,"1",,"4",,,"5","1",,,,,
"RU","Cardiology","9cc5e896-d159-d1d2-36d8-2d85cb67a721","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","2","2","1,2,7","11","11","3","11","2","11","1","11","11","11","1","1,2","5","2","5","1","4","2","3","1","1","4","2","Sverdlovskaja oblast'",,,,,,,,,,,,,,,,,,
"SE","Nephrology","d8fff7b8-48de-b215-7d27-95d47e038d74","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","3","3","1,2,3,4,10","2","11","11","1","3","11","11","11","11","11","1","2","5","2","2","4","3","5","1","4","1","2","3","Skåne län [SE-12]",,,,,,,,,,,,,,,,,,
"BE","Neurology","f194d6b4-e910-d970-9371-17ee5d6cb91d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"3","2","3","1,2,7,8,10,stay at home and alone if ill","1","11","11","11","11","2","11","11","11","3","1","2,3,contact GP if dyspnea","5","2","4","5","3","2","1","3","2","3","2",,,,,,,,,,,,,,,,,,,
"PL","Urology","fcb254ae-3309-3a70-2a51-fd0becc0b0e5","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","1","2","1","1,2,3,4,5,6,7,8","1","3","11","11","11","2","11","11","11","11","1","1,2,3","1","2","4","2","5","3","1","2","1","2","2",,"3","3","3","12","12",,,,,,,,,,,,,
"GR","Rheumatology","a4fc9025-3108-4ba2-ebae-afffcec7934d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"3","1","1","1,2,7,8,9","11","11","11","11","2","1","11","11","11","3","2","1,2","1","2","4","5","3","1","2","1","2","3","2",,"3","3,4,5","8","12","2,4,7",,"3",,"5",,,"3,5","1",,,"4",,
"RU","Dermatology","db55ae51-eed5-1fd4-cdce-6a786691dc80","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","2","1","1,2,3,4,6,7,8,9","2","1","11","11","11","3","11","11","11","11","2","1,2","5","1","5","4","3","2","1","2","2","1","2",,,,,,,,,,,,,,,,,,,
"GR","General Practice (GP)","009a0476-9876-d2d4-11c9-dff165926ab3","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","2","1","1,2,3,4,5,7,8","1","11","11","3","11","2","11","11","11","11","1","1,2","5","2","5","4","2","1","3","1","2","2","1",,,,,,,,,,,,,,,,,,,
"TR","Cardiology - Interventional Cardiology","f252d4f0-6038-d3d3-8542-ffa3ab779d03","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","2","1","2,3,4,5,6,7,8","11","11","11","11","11","1","2","11","11","3","1","1,2","3",,"3","5","4","1","2","1","3","1","1",,,"8","8","1,2,4","1,2,4","5","5",,"6",,,"1","1",,,,,
"IE","General Practice (GP)","eadff3fe-4f75-0ff9-df4f-d6d6c8aae0a8","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","1","3","1,2,3,4,7","11","11","2","3","11","1","11","11","11","11","2","2","1","2","3","4","2","5","1","3","2","2","2",,"6","1,2,3,4,5,6","3","12","12",,,,,,,,,,,,,
"GR","Intensive Care / Critical Care Medicine","814f027b-12b6-024c-9618-a90b3ce43b7d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","2","1","1","1,4,7,8","2","11","11","1","11","11","11","3","11","11","2","2","1,3",,"4","1","3","5","2","2","2","2","1","Attiki","2","8","8","2,3,4","2,3,4,7,9",,"5","3","5",,"3","5,6","1",,,"7",,
"RU","Rheumatology","69b2f9b5-817c-e837-3f39-d8f0ab7d24ca","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","2","3","1,2,3,4,5,6,7,8,9,10","1","11","11","11","11","2","3","11","11","11","2","1,2,inform healthcare services","1,2,4",,"4","3","2","1","5","1","2","3","2",,"2","8","8","2,3,4,7,8","2,3,4,7,8",,"4","4","4",,,"2,5,6","1",,"5","4",,
"AT","Anesthesiology","8d1231de-d962-7fee-4671-01cff83d4361","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","2","1","1","1,2,3,7","3","11","11","2","11","1","11","11","11","11","1","1","3",,"4","3","2","5","1","2","1","3","2",,,"3,4,6","3,4,6","7","3,4,7",,,"3","2",,,"5,6","2",,,"4",,
"RU","Internal Medicine","3d29d647-d44c-089b-cd8c-46d4e0f9455d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","2","4","1,2,3,4,5,6,7,8,9,10","1","11","2","11","11","3","11","11","11","11","1","1,2","3",,"2","4","3","5","1","1","2","2","2",,,"8","8","1,3","1,3","2",,"3",,,,,,,,,,
"NL","Ophthalmology","c5658db8-5c7f-6d18-38c1-62da4098a98d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","2","3","1,2","1","11","11","11","11","2","11","11","3","11","1","2","5","2","4","3","2","5","1","2","2","2","2",,,,,,,,,,,,,,,,,,,
"TR","Internal Medicine","ee56cff0-3e99-e5c7-3795-18273f029a86","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","4","1,2,3,4,5,6,7,8,9","11","11","1","2","11","11","3","11","11","11","2","1,2,4","3",,"5","3","4","1","2","2","2","2","2","Afyonkarahisar",,"4,5,6","4","1,2,4,5,9","1,2,3,4,5,9","4","4","4","5","4","4","3","1",,,,,
"RU","Pulmonology/Respiratory Medicine","b4f405e8-a04a-b3fb-52c1-7c1702bbbc04","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","1","1","1,3,4,6,7,8","11","11","3","2","11","1","11","11","11","11","3","1","1","1","4","2","5","1","3","1","2","3","1",,"3","1","8","1,2,5,6,9","1,2,5,6,8,9","7","7",,,"7","7",,,"7","7",,,
"TR","Physical Medicine & Rehabilitation (Physiatry)","7209ba28-7dd5-43db-9c84-8c67368d2608","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","1","1,2,3,4,5,7","1","11","2","11","11","3","11","11","11","11","2","1,2","2",,"4","3","2","5","1","2","1","2","2","Eskişehir",,"4,5,6","3,4,5,6","2,4,9,11","2,4,9,11",,"3",,"4",,"4","1,2,3,4,5","1",,,,"ozon therapy, maximum c vit",
"SE","Pathology","645b59e6-ec91-8131-aedd-2b2c7225cfc9","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","3","3","1,2,4,6,7,8,10","2","11","11","11","11","1","11","3","11","11","1","1","5","2","2","5","3","4","1","2","1","3","3",,,,,,,,,,,,,,,,,,,
"TR","Gastroenterology","a620160b-5303-de85-3356-3e9af32d2c8d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","5","6","3","4","1,2,4,5,6,7,8,9,10","1","11","11","11","2","3","11","11","11","11","1","1,2,3,4","1,3",,"4","5","2","3","1","1","1","4","3","Kocaeli","3","1,2,3,4,5,6","1,2,3,4,5,6","1,2,3,4,5,7,9","1,2,3,4,5,7,9","3","4","4","4","2","4","2,4,5,6","1",,,"3",,
"SE","Anesthesiology","3469e346-ce3c-317f-9b37-479af12e9756","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","7","4","3","2,7,8","1","11","3","11","11","2","11","11","11","11","1","2","5","1","4","5","2","3","1","2","1","3","2",,,,,,,,,,,,,,,,,,,
"TR","Neurology","fb86cedf-2238-9c25-1863-3bab8255b83c","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","3","1","1,2,4,5,6,7,8,Make gym at home, stress out","1","11","11","11","11","11","3","11","2","11","3","1,2","5","2","2","5","4","3","1","2","3","2","2","Ankara",,,,,,,,,,,,,,,,,,
"AT","General Practice (GP)","acf54d9d-1de8-2c1b-752d-84fecd69da49","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","2","3","1,2,7","3","11","11","1","2","11","11","11","11","11","2","1","5","1","4","5","3","2","1","2","2","3","2","Wien",,,,,,,,,,,,,,,,,,
"SE","General Practice (GP)","049c6e59-5228-edfb-c176-ef0b38d6c0cc","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","3","2","3","1,2,3,4,7,8","1","2","11","11","3","11","11","11","11","11","3","2","5","2","4","5","3","2","1","2","1","2","2",,,,,,,,,,,,,,,,,,,
