"country","specialty","state","respondentId","surveyStatus","studyId","title","Q1","Q2","Q3","Q4","Q5-1","Q5-2","Q5-3","Q5-4","Q5-5","Q6","Q7","Q8","Q15","Q16","Q17","Q18","Q19","Q20","Q22","Q24-1","Q24-2","Q24-3","Q25","Q26","Q23","Q9","Q10-1","Q10-2","Q12-3","Q12-4","Q12-5","Q12-7","Q12-9","Q14","Q21","Q12-2","Q12-10","Q11","Q12-1","Q12-6","Q12-8"
"AU","General Practice (GP)","Queensland","d6aa7768-f514-41c6-ada8-522e6904b77c","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","7","6","1","Not sure",,,,,"3","1","3","3","1","1","5","3,4,5","1","1","1","1","2","6","2",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)","Western Australia","81fe7d73-a12f-45a6-ac7c-17b221a11d1a","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","6","1","AZITHROMYCIN","HYDROXYCHOLORQUINE",,,,"1","1","4","3","1","2",,"1,3,4,5,6","1","1","3","3","3","5","3",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)","New South Wales","d55912cb-9cd5-490e-98cd-9d77ed29e1c6","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","6","6","1","not sure",,,,,"3","5",,,"1","2",,"3,4,5,6","1","2","1","1","2","6","2","1",,,,,,,,,,,,,,,,
"AU","Oncology","Queensland","2046e041-fc4b-48ac-8ed4-2c5ab669a688","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","5","1","Ppe",,,,,"3","4",,,"2","1","4","4","1","1","1","3","3","6","3",,,,,,,,,,,,,,,,,
"AU","Oncology - Medical Oncology","Victoria","ab68fa9a-bf9b-4414-9d9c-fe6ca0913097","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","1","5","2",,,,,,"3","5",,,"2","1","4","5","1","1","2","1","3","6","3",,,,,,,,,,,,,,,,,
"AU","Psychiatry","New South Wales","a135119a-d224-4d67-84c9-01cdb4cbb352","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","6","2",,,,,,"4","5",,,"1","1","2","1,3,4,5","1","1","3","3","3","6","2",,,,,,,,,,,,,,,,,
"AU","Internal Medicine","New South Wales","2172c39a-43a6-49e1-9428-a6ee291878d8","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"3","2",,,,,,"3","1,3,4","3","2","2","1","3","1,3,5","2","1","2","2","3","5","2",,"1","5","3,4,5,7,9","7","7","7","7","7","not sure","1",,,,,,
"AU","Rheumatology","New South Wales","f436ea3d-07ea-4710-9f4a-11d7075f5ad3","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","1",-1,"5","1","HCQ",,,,,"3","5",,,"1","2",,"Don’t know","1","1","1","1","1","4","2",,,,,,,,,,,,,,,,,
"AU","Cardiology","Queensland","9cee371b-2d5a-4329-8be9-afdf35278349","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","1",-1,"5","2",,,,,,"3","5",,,"1","2",,"3,4,5","1","1","1","1","3","6","2",,,,,,,,,,,,,,,,,
"AU","Psychiatry","Victoria","0cd003a0-e2fa-4cae-9d1d-f693f198d599","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"6","1","we don't treat covid-19 patients",,,,,"2","5",,,"1","2",,"1,2,3,4,5","1","2","1","1","3","6","2","1",,,,,,,,,,,,,,,,
"AU","Geriatric Medicine",,"ac989073-85b6-44f8-aa61-33690b73bc5c","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","1",-1,"1","1","hydoxychloroqquine",,,,,"2","5",,,"1","2",,"1,4,5","1","1","1","2","2","5","1",,,,,,,,,,,,,,,,,
"AU","Psychiatry","South Australia","638b9838-8d6c-4f97-acfa-49404b381c75","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","5","2",,,,,,"3","5",,,"3","2",,"7","1","1","1","1","2","1","2",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)",,"2e4d685e-9716-4f63-92fe-641d38f070f2","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","6","6","2",,,,,,"2","1","4","3","1","1","1","1,2,3","1","2","3","3","3","1","2","5",,,,,,,,,,,,,,,,
"AU","Cardiothoracic surgery","Victoria","9f3033e0-c931-482e-bac9-4421cc250a3a","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"5","2",,,,,,"3","1","2","2","2","2",,"1,3,4,5,6","2","1","2","2","2","1","2",,,,,,,,,,,"3",,,,,,
"AU","General Practice (GP)","Queensland","88ac986c-2f63-4d38-84e3-935aeb6c82aa","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","4","1","Antivirals",,,,,"3","1","2","4","1","1","3","1,3,4,5","1","1","3","3","3","1","2",,,,,,,,,,,,,,,,,
"AU","Rheumatology","Victoria","202131ee-8f22-48cf-8ecd-c0c791e55133","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","6","6","2",,,,,,"2","5",,,"2","2",,"5,6","1","1","2","1","2","1","1",,,,,,,,,,,,,,,,,
"AU","Internal Medicine","New South Wales","d1cb027e-73b3-47ab-bcdd-0e032b3ef32e","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"2","1","Salbutamol MDI","Symbicort MDI and Turbuhalers","Hydroxychloroquine",,,"3","5",,,"2","1","3","1,3,4,5,6","1","2","1","1","3","1","2","1",,,,,,,,,,,,,,,,
"AU","Psychiatry","New South Wales","536bcd82-b7fe-4820-9367-3b7fa704399b","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","1",-1,"2","2",,,,,,"1","5",,,"1","1","1","3,5","1","1","1","1","1","6","2",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)",,"b75940e0-193d-4e26-b6f2-2d21d4a2a867","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","1",-1,"6","1","Hydroxychloroquin",,,,,"3","1","4","1","1","2",,"1,3,4,5","1","1","1","1","1","6","2",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)",,"d170a9e9-02ad-4eb8-b04a-045809c7458a","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"6","2",,,,,,"3","5",,,"3","1","4","1,2,3,4,5","1","1","1","1","1","1","2",,,,,,,,,,,,,,,,,
"AU","Emergency Medicine",,"f28f26f7-22fe-4bb8-b364-6e29595deca0","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","5","6","2",,,,,,"2","1","3","5","1","1","3","2","2","2","1","1","1","1","2","1",,,,,,,,,,"1",,,,,,
"AU","Pediatrics (excluding surgery)",,"3530b728-e4e9-4b19-b40c-0fed0d98b8e0","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","6","2","1","Has none",,,,,"2","5",,,"2","2",,"1,3,5","1","1","2","3","3","6","2",,,,,,,,,,,,,,,,,
