"country","specialty","state","respondentId","surveyStatus","lastInteraction","firstInteraction","studyId","title","Q1","Q3","Q4","Q5","Q6","Q20-1","Q20-2","Q20-3","Q21","Q22","Q23","Q24-1","Q24-2","Q24-3","Q24-4","Q24-5","Q24-6","Q24-7","Q25-1","Q25-2","Q25-3","Q25-4","Q25-5","Q25-6","Q2","Q7-1","Q7-2","Q7-3","Q8","Q11-5","Q14-5","Q18","Q19","Q9","Q10","Q12-5","Q12-17","Q12-18","Q12-19","Q13-5","Q13-9","Q13-17","Q13-18","Q15-5","Q15-17","Q15-18","Q15-19","Q16-5","Q16-9","Q16-17","Q16-18","Q11-11","Q11-13","Q14-11","Q14-13","Q11-2","Q12-2","Q12-4","Q14-2","Q15-2","Q15-4","Q17","Q12-11","Q12-12","Q12-13","Q13-11","Q13-12","Q13-13","Q13-19","Q15-11","Q15-12","Q15-13","Q16-11","Q16-12","Q16-13","Q16-19","Q12-8","Q13-8","Q15-8","Q16-8","Q12-9","Q13-6","Q13-21","Q15-9","Q16-6","Q16-21","Q11-9","Q14-9","Q11-20","Q14-20","Q12-1","Q12-3","Q12-7","Q12-15","Q13-2","Q13-4","Q13-7","Q13-10","Q13-14","Q13-15","Q15-1","Q15-3","Q15-7","Q15-15","Q16-2","Q16-4","Q16-7","Q16-10","Q16-14","Q16-15","Q11-4","Q11-12","Q14-4","Q14-12","Q13-20","Q16-20","Q11-3","Q11-8","Q11-14","Q11-15","Q14-3","Q14-8","Q14-14","Q14-15","Q12-20","Q15-20","Q13-1","Q13-3","Q16-1","Q16-3","Q12-21","Q15-21","Q12-10","Q15-10","Q12-14","Q15-14","Q11-1","Q14-1","Q11-17","Q11-18","Q11-19","Q14-17","Q14-18","Q14-19","Q12-22","Q13-22","Q15-22","Q16-22","Q13-16","Q16-16","Q12-6","Q15-6","Q11-21","Q11-22","Q14-21","Q14-22","Q11-6","Q11-7","Q11-16","Q12-16","Q14-6","Q14-7","Q14-16","Q15-16","Q11-10","Q14-10","label","WAVE","pulseId","surveyTime","current_wave","treatment_setting","efficacy_overall_1","efficacy_overall_2","efficacy_overall_3","efficacy_overall_4","efficacy_overall_5","efficacy_overall_6","efficacy_overall_7","efficacy_overall_8","efficacy_overall_9","efficacy_overall_10","efficacy_overall_11","efficacy_overall_12","efficacy_overall_13","efficacy_overall_14","efficacy_overall_15","efficacy_overall_16","efficacy_overall_17","efficacy_overall_18","efficacy_overall_19","efficacy_overall_20","efficacy_overall_21","efficacy_overall_22","safety_overall_1","safety_overall_2","safety_overall_3","safety_overall_4","safety_overall_5","safety_overall_6","safety_overall_7","safety_overall_8","safety_overall_9","safety_overall_10","safety_overall_11","safety_overall_12","safety_overall_13","safety_overall_14","safety_overall_15","safety_overall_16","safety_overall_17","safety_overall_18","safety_overall_19","safety_overall_20","safety_overall_21","safety_overall_22"
"DE","Gastroenterology","Berlin","0ed7513e-021f-4284-9a2a-d422eafd0691","Completed","2020-04-17T17:37:02.836595","2020-04-17T17:35:08.544128","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","1","2","1","1","3","4","4","4","1","2","4","1","2","7","4","3","6","5","1","6","2","5","3","4","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",1.9048666666666667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE","General Practice (GP)","Thüringen","d149b2af-b7c3-4083-9602-1af15e5cd2fc","Completed","2020-04-17T14:13:58.872106","2020-04-17T14:04:45.174826","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","3","1","2","1,2,3","2","1","5","1","2","1",,"5","6","1","7","2","4","3","2","6","3","4","5","1","5","2","1","1","5","3","3","7","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",9.228299999999999,0,1,,,,,"3",,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,
"DE","Gastroenterology","Thüringen","f06aa3ef-c0c4-482c-998a-369c8509ec88","Completed","2020-04-17T11:08:31.366593","2020-04-17T11:05:36.873391","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","4","3","3","1","3","2","3","2","1","1",,"1","2","3","5","4","7","6","1","3","6","2","5","4","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",2.9082166666666667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Anesthesiology","Bayern","255e73cf-b2b0-4098-b148-53a3bfa9c015","Completed","2020-04-17T10:20:34.885254","2020-04-17T10:06:50.876779","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","3","5","1","1,2,3","3","2","4","2","1","2","4","2","3","4","5","1","6","7","6","5","3","1","2","4","5","3","4","4",,,,"7","4","5,17,18,19","5,9,17,18","2","3","3","3","1","3","3","3","4","4","4","4","3","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",13.733483333333334,0,4,,,,,"1",,,,"3",,,,,,,,"3","3",,,,,,,,,"3",,,,"4",,,,,,,,"4","4",,,,
"DE","General Practice (GP)","Nordrhein-Westfalen","de6109eb-d5a7-4324-ad62-ee8ddef11dd2","Completed","2020-04-17T08:28:21.724058","2020-04-17T07:18:40.948856","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","3","5","2","1,2,3","3","3","4","5","2","1",,"1","5","2","3","4","7","6","2","6","4","1","3","5","2","7","1","1","5,11,13","2","3","7","2",,,,,,,,,,,,,,,,,,,"6","6","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",69.6796,0,1,,,,,"2",,,,,,"6",,"6",,,,,,,,,,,,,,"3",,,,,,"1",,"1",,,,,,,,,
"DE","Urology","Hamburg","b8158373-0bdc-409b-8e61-78ba9b891ba6","Completed","2020-04-17T06:08:01.472777","2020-04-17T06:02:28.407624","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","3","4","3","4",,"2","3","4","2","1",,"2","3","4","6","1","7","5","5","4","2","1","6","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",5.551083333333334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Internal Medicine","Bayern","6082333b-8988-4ba3-b2c0-2cd328f81dd3","Completed","2020-04-16T20:00:05.655442","2020-04-16T19:54:20.993019","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","3","2","3","4",,"1","3","2","3","1",,"5","7","3","4","2","6","1","4","1","2","5","6","3","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",5.744366666666666,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Pediatrics (excluding surgery)","Brandenburg","32f09a1b-c14e-433d-b950-4fa9490657c7","Completed","2020-04-16T19:47:10.989319","2020-04-16T19:45:15.273776","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","1","2","2","1","3","2","3","2","2","1",,"7","3","5","2","4","6","1","1","6","5","2","4","3","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",1.9285999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Dermatology","Nordrhein-Westfalen","cfe1f311-6698-46b9-8203-71aad9a38ab9","Completed","2020-04-16T19:24:56.324138","2020-04-16T19:12:03.391472","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","3","4","4","1","2","3","3","5","3","1",,"7","5","6","3","4","1","2","1","6","2","3","4","5","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",12.882216666666666,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Obstetrics & Gynecology",,"290481b8-c56d-421f-b824-e27449a0e6ad","Completed","2020-04-16T17:34:23.881311","2020-04-16T17:30:03.950976","f841db14-3e1f-4574-bb6e-34421069bdaa","Your voice, represented in the COVID-19 global conversation","1","1","2","4",,"2","1","5","2","1",,"7","6","1","2","5","3","4","2","4","6","5","1","3","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave4_en",4,"f841db14-3e1f-4574-bb6e-34421069bdaa",4.332183333333333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
