"country","specialty","state","respondentId","surveyStatus","lastInteraction","firstInteraction","studyId","title","Q1","Q3","Q4","Q5","Q6","Q7-1","Q7-2","Q7-3","Q14","Q15-7","Q16-7","Q17","Q18","Q19","Q25","Q28","Q29","Q15-14","Q15-16","Q16-14","Q16-16","Q22","Q2","Q15-2","Q15-12","Q15-13","Q16-2","Q16-12","Q16-13","Q11","Q21","Q12-7","Q13-7","Q8","Q9-8","Q9-16","Q10-8","Q10-16","Q20","Q12-9","Q12-10","Q12-12","Q13-9","Q13-10","Q13-12","Q15-9","Q15-10","Q16-9","Q16-10","Q12-14","Q12-16","Q13-14","Q13-16","Q23","Q15-6","Q16-6","Q12-2","Q13-2","Q12-8","Q13-8","Q15-8","Q16-8","Q9-14","Q10-14","Q24","Q12-11","Q13-11","Q26","Q27","Q12-4","Q13-4","Q12-6","Q13-6","Q15-4","Q16-4","Q9-1","Q10-1","Q9-3","Q9-6","Q10-3","Q10-6","Q12-1","Q13-1","Q9-10","Q10-10","Q15-15","Q16-15","Q15-1","Q16-1","Q9-7","Q9-11","Q9-12","Q10-7","Q10-11","Q10-12","Q15-11","Q16-11","Q9-15","Q10-15","Q12-13","Q13-13","Q9-2","Q10-2","Q9-13","Q10-13","Q15-5","Q16-5","Q9-4","Q10-4","Q12-3","Q12-5","Q13-3","Q13-5","Q12-15","Q13-15","Q9-17","Q10-17","Q9-9","Q10-9","Q15-3","Q16-3","Q9-5","Q10-5","Q12-17","Q13-17","Q15-17","Q16-17","label","WAVE","pulseId","surveyTime","treatment_setting","efficacy_overall_1","efficacy_overall_2","efficacy_overall_3","efficacy_overall_4","efficacy_overall_5","efficacy_overall_6","efficacy_overall_7","efficacy_overall_8","efficacy_overall_9","efficacy_overall_10","efficacy_overall_11","efficacy_overall_12","efficacy_overall_13","efficacy_overall_14","efficacy_overall_15","efficacy_overall_16","efficacy_overall_17","efficacy_overall_18","efficacy_overall_19","efficacy_overall_20","efficacy_overall_21","efficacy_overall_22","safety_overall_1","safety_overall_2","safety_overall_3","safety_overall_4","safety_overall_5","safety_overall_6","safety_overall_7","safety_overall_8","safety_overall_9","safety_overall_10","safety_overall_11","safety_overall_12","safety_overall_13","safety_overall_14","safety_overall_15","safety_overall_16","safety_overall_17","safety_overall_18","safety_overall_19","safety_overall_20","safety_overall_21","safety_overall_22","current_wave"
"US","Pulmonology/Respiratory Medicine","Maryland","4a21d2d5-f368-416b-8f43-323f07e0ce71","Completed","2020-05-01T17:23:29.341983","2020-05-01T17:20:28.346984","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","2","4","3","1,2","2","1","1","3","7","6","3","4","1","2","2","1,2,3,4,5,7,8","2",,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",3.0165833333333336,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,0
"US","Internal Medicine","Michigan","085bdf3b-9549-40e9-82e5-ccc0c6659ef6","Completed","2020-05-01T17:11:39.611595","2020-05-01T17:07:54.383444","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","1","2","3","1,2","2","1","1","2","14,16",,,"6","2","1","2","9","2","1","1","2","2","6,20","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",3.7538,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,"2",,,,,,,0
"US","Rheumatology","Texas","0677c3a3-af66-4b02-a94e-14af538f891d","Completed","2020-05-01T16:43:50.594811","2020-05-01T16:42:27.207408","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","1","2","1","1,3","3",,,,,,,"6",,,,"1,2,3,4,5,6,7,8","1",,,,,,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",1.3897833333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"US","Pediatrics (excluding surgery)","Texas","47617e32-69e5-4519-a032-bf3127f594ce","Completed","2020-05-01T15:46:41.431093","2020-05-01T15:44:49.919761","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","3","3","3","1,3","3",,,,,,,"6",,,,"9","2",,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",1.8585333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"US","Ophthalmology","Ohio","0007950d-0e89-4289-8d99-b672840b120e","Completed","2020-05-01T15:42:54.586845","2020-05-01T15:41:50.510453","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","3","4","1","4",,,,,,,,,,,,"2","2",,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",1.0679333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"US","Endocrinology","Utah","6c2a954a-c549-437d-ae39-7ef0fe962d78","Completed","2020-05-01T15:00:15.648584","2020-05-01T14:51:43.980961","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","1","1","4","1","3",,,,,,,"2",,,,"4","1",,,,,,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",8.527800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"US","Intensive Care / Critical Care Medicine","Florida","f8d01b24-c6ed-4cdd-8704-9e6605aa95ba","Completed","2020-05-01T14:18:26.351861","2020-05-01T14:13:58.906132","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","3","4","4","2",,"1","1","4","2,12,13,14",,,,"1","1","2","9","2","1",,"2",,"7,11,17,20,21,22,23,24","7","1","1","1","3","4","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",4.457416666666666,5,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,"4","2","2",,,,,,,,,0
"US","Family Medicine / Practice (FP)","South Carolina","eb810f12-34ef-46e3-847a-125ddbe61d00","Completed","2020-05-01T11:05:33.515353","2020-05-01T11:04:05.330293","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","1","1","4","1","3",,,,,,,"1",,,,"9","2",,,,,,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",1.4697500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"US","Psychiatry","Washington","a4b2837e-c3a0-4bf6-a7e2-39347cd046cd","Completed","2020-04-30T20:23:03.094751","2020-04-30T20:21:11.141361","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","3","5","3","4",,,,,,,,,,,,"1,2,3,4,5,6,7,8","1",,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",1.8658833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"US","Radiology - Interventional Radiology","Illinois","b003ae76-12b1-4f67-aa1d-ab725181d0b8","Completed","2020-04-30T19:53:07.242608","2020-04-30T19:48:42.4404","a465c657-0c65-45f2-bf24-377542993cb6","COVID-19 Global Study: What’s Your Perspective?","3","3","1","2,3",,"2","2","2","14",,,,"1","1","2","1,2,3,4,7","2","6",,"6",,"2,6,17,20,21","4",,,,,,,"18","3,6,17,20,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wave6_en",6,"a465c657-0c65-45f2-bf24-377542993cb6",4.413366666666667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,0
